7.2.6 mu	C2	C3	7.2.6 K(mu)	7.2.6(e)	Control	Experimental	Difference	Control - 400	Experimental - 400	Ctrl > 400	Expr > 400	C21	7.2.4  mu	C23	C24	C25	7.2.4  K(mu)
6.350000000e+002	3.394000000e+001	1.212142857e+000	8.872711384e-001									7.350000000e+002	7.350000000e+001	9.500000000e+000	4.750000000e+000	9.999989829e-001	1.017083243e-006
6.360000000e+002	3.294000000e+001	1.176428571e+000	8.802881596e-001									7.360000000e+002	7.360000000e+001	9.400000000e+000	4.700000000e+000	9.999986992e-001	1.300807454e-006
6.370000000e+002	3.194000000e+001	1.140714286e+000	8.730055706e-001									7.370000000e+002	7.370000000e+001	9.300000000e+000	4.650000000e+000	9.999983403e-001	1.659675144e-006
6.380000000e+002	3.094000000e+001	1.105000000e+000	8.654201967e-001									7.380000000e+002	7.380000000e+001	9.200000000e+000	4.600000000e+000	9.999978875e-001	2.112454702e-006
6.390000000e+002	2.994000000e+001	1.069285714e+000	8.575295191e-001									7.390000000e+002	7.390000000e+001	9.100000000e+000	4.550000000e+000	9.999973177e-001	2.682295780e-006
6.400000000e+002	2.894000000e+001	1.033571429e+000	8.493317116e-001									7.400000000e+002	7.400000000e+001	9.000000000e+000	4.500000000e+000	9.999966023e-001	3.397673125e-006
6.410000000e+002	2.794000000e+001	9.978571429e-001	8.408256752e-001									7.410000000e+002	7.410000000e+001	8.900000000e+000	4.450000000e+000	9.999957065e-001	4.293514470e-006
6.420000000e+002	2.694000000e+001	9.621428571e-001	8.320110697e-001									7.420000000e+002	7.420000000e+001	8.800000000e+000	4.400000000e+000	9.999945875e-001	5.412543908e-006
6.430000000e+002	2.594000000e+001	9.264285714e-001	8.228883438e-001									7.430000000e+002	7.430000000e+001	8.700000000e+000	4.350000000e+000	9.999931931e-001	6.806876599e-006
6.440000000e+002	2.494000000e+001	8.907142857e-001	8.134587607e-001									7.440000000e+002	7.440000000e+001	8.600000000e+000	4.300000000e+000	9.999914601e-001	8.539905471e-006
6.450000000e+002	2.394000000e+001	8.550000000e-001	8.037244218e-001									7.450000000e+002	7.450000000e+001	8.500000000e+000	4.250000000e+000	9.999893115e-001	1.068852577e-005
6.460000000e+002	2.294000000e+001	8.192857143e-001	7.936882855e-001									7.460000000e+002	7.460000000e+001	8.400000000e+000	4.200000000e+000	9.999866543e-001	1.334574902e-005
6.470000000e+002	2.194000000e+001	7.835714286e-001	7.833541835e-001									7.470000000e+002	7.470000000e+001	8.300000000e+000	4.150000000e+000	9.999833762e-001	1.662376373e-005
6.480000000e+002	2.094000000e+001	7.478571429e-001	7.727268318e-001									7.480000000e+002	7.480000000e+001	8.200000000e+000	4.100000000e+000	9.999793425e-001	2.065750691e-005
6.490000000e+002	1.994000000e+001	7.121428571e-001	7.618118385e-001									7.490000000e+002	7.490000000e+001	8.100000000e+000	4.050000000e+000	9.999743912e-001	2.560881647e-005
6.500000000e+002	1.894000000e+001	6.764285714e-001	7.506157067e-001									7.500000000e+002	7.500000000e+001	8.000000000e+000	4.000000000e+000	9.999683288e-001	3.167124183e-005
6.510000000e+002	1.794000000e+001	6.407142857e-001	7.391458326e-001									7.510000000e+002	7.510000000e+001	7.900000000e+000	3.950000000e+000	9.999609244e-001	3.907559660e-005
6.520000000e+002	1.694000000e+001	6.050000000e-001	7.274105000e-001									7.520000000e+002	7.520000000e+001	7.800000000e+000	3.900000000e+000	9.999519037e-001	4.809634402e-005
6.530000000e+002	1.594000000e+001	5.692857143e-001	7.154188686e-001									7.530000000e+002	7.530000000e+001	7.700000000e+000	3.850000000e+000	9.999409411e-001	5.905891242e-005
6.540000000e+002	1.494000000e+001	5.335714286e-001	7.031809588e-001									7.540000000e+002	7.540000000e+001	7.600000000e+000	3.800000000e+000	9.999276520e-001	7.234804393e-005
6.550000000e+002	1.394000000e+001	4.978571429e-001	6.907076309e-001									7.550000000e+002	7.550000000e+001	7.500000000e+000	3.750000000e+000	9.999115827e-001	8.841728520e-005
6.560000000e+002	1.294000000e+001	4.621428571e-001	6.780105601e-001									7.560000000e+002	7.560000000e+001	7.400000000e+000	3.700000000e+000	9.998922003e-001	1.077997335e-004
6.570000000e+002	1.194000000e+001	4.264285714e-001	6.651022065e-001									7.570000000e+002	7.570000000e+001	7.300000000e+000	3.650000000e+000	9.998688798e-001	1.311201544e-004
6.580000000e+002	1.094000000e+001	3.907142857e-001	6.519957805e-001									7.580000000e+002	7.580000000e+001	7.200000000e+000	3.600000000e+000	9.998408914e-001	1.591085902e-004
6.590000000e+002	9.940000000e+000	3.550000000e-001	6.387052040e-001									7.590000000e+002	7.590000000e+001	7.100000000e+000	3.550000000e+000	9.998073844e-001	1.926155756e-004
6.600000000e+002	8.940000000e+000	3.192857143e-001	6.252450675e-001									7.600000000e+002	7.600000000e+001	7.000000000e+000	3.500000000e+000	9.997673709e-001	2.326290790e-004
6.610000000e+002	7.940000000e+000	2.835714286e-001	6.116305822e-001									7.610000000e+002	7.610000000e+001	6.900000000e+000	3.450000000e+000	9.997197067e-001	2.802932768e-004
6.620000000e+002	6.940000000e+000	2.478571429e-001	5.978775297e-001									7.620000000e+002	7.620000000e+001	6.800000000e+000	3.400000000e+000	9.996630707e-001	3.369292657e-004
6.630000000e+002	5.940000000e+000	2.121428571e-001	5.840022072e-001									7.630000000e+002	7.630000000e+001	6.700000000e+000	3.350000000e+000	9.995959422e-001	4.040578019e-004
6.640000000e+002	4.940000000e+000	1.764285714e-001	5.700213700e-001									7.640000000e+002	7.640000000e+001	6.600000000e+000	3.300000000e+000	9.995165759e-001	4.834241424e-004
6.650000000e+002	3.940000000e+000	1.407142857e-001	5.559521705e-001									7.650000000e+002	7.650000000e+001	6.500000000e+000	3.250000000e+000	9.994229750e-001	5.770250424e-004
6.660000000e+002	2.940000000e+000	1.050000000e-001	5.418120956e-001									7.660000000e+002	7.660000000e+001	6.400000000e+000	3.200000000e+000	9.993128621e-001	6.871379379e-004
6.670000000e+002	1.940000000e+000	6.928571429e-002	5.276189016e-001									7.670000000e+002	7.670000000e+001	6.300000000e+000	3.150000000e+000	9.991836477e-001	8.163523128e-004
6.680000000e+002	9.400000000e-001	3.357142857e-002	5.133905469e-001									7.680000000e+002	7.680000000e+001	6.200000000e+000	3.100000000e+000	9.990323968e-001	9.676032132e-004
6.690000000e+002	-6.000000000e-002	-2.142857143e-003	4.991451243e-001									7.690000000e+002	7.690000000e+001	6.100000000e+000	3.050000000e+000	9.988557932e-001	1.144206831e-003
6.700000000e+002	-1.060000000e+000	-3.785714286e-002	4.849007918e-001									7.700000000e+002	7.700000000e+001	6.000000000e+000	3.000000000e+000	9.986501020e-001	1.349898032e-003
6.710000000e+002	-2.060000000e+000	-7.357142857e-002	4.706757031e-001									7.710000000e+002	7.710000000e+001	5.900000000e+000	2.950000000e+000	9.984111304e-001	1.588869647e-003
6.720000000e+002	-3.060000000e+000	-1.092857143e-001	4.564879385e-001									7.720000000e+002	7.720000000e+001	5.800000000e+000	2.900000000e+000	9.981341867e-001	1.865813300e-003
6.730000000e+002	-4.060000000e+000	-1.450000000e-001	4.423554359e-001									7.730000000e+002	7.730000000e+001	5.700000000e+000	2.850000000e+000	9.978140385e-001	2.185961455e-003
6.740000000e+002	-5.060000000e+000	-1.807142857e-001	4.282959226e-001									7.740000000e+002	7.740000000e+001	5.600000000e+000	2.800000000e+000	9.974448697e-001	2.555130330e-003
6.750000000e+002	-6.060000000e+000	-2.164285714e-001	4.143268487e-001									7.750000000e+002	7.750000000e+001	5.500000000e+000	2.750000000e+000	9.970202368e-001	2.979763235e-003
6.760000000e+002	-7.060000000e+000	-2.521428571e-001	4.004653224e-001									7.760000000e+002	7.760000000e+001	5.400000000e+000	2.700000000e+000	9.965330262e-001	3.466973803e-003
6.770000000e+002	-8.060000000e+000	-2.878571429e-001	3.867280472e-001									7.770000000e+002	7.770000000e+001	5.300000000e+000	2.650000000e+000	9.959754115e-001	4.024588543e-003
6.780000000e+002	-9.060000000e+000	-3.235714286e-001	3.731312612e-001									7.780000000e+002	7.780000000e+001	5.200000000e+000	2.600000000e+000	9.953388120e-001	4.661188024e-003
6.790000000e+002	-1.006000000e+001	-3.592857143e-001	3.596906805e-001									7.790000000e+002	7.790000000e+001	5.100000000e+000	2.550000000e+000	9.946138540e-001	5.386145954e-003
6.800000000e+002	-1.106000000e+001	-3.950000000e-001	3.464214445e-001									7.800000000e+002	7.800000000e+001	5.000000000e+000	2.500000000e+000	9.937903347e-001	6.209665326e-003
6.810000000e+002	-1.206000000e+001	-4.307142857e-001	3.333380657e-001									7.810000000e+002	7.810000000e+001	4.900000000e+000	2.450000000e+000	9.928571893e-001	7.142810735e-003
6.820000000e+002	-1.306000000e+001	-4.664285714e-001	3.204543829e-001									7.820000000e+002	7.820000000e+001	4.800000000e+000	2.400000000e+000	9.918024641e-001	8.197535924e-003
6.830000000e+002	-1.406000000e+001	-5.021428571e-001	3.077835186e-001									7.830000000e+002	7.830000000e+001	4.700000000e+000	2.350000000e+000	9.906132945e-001	9.386705535e-003
6.840000000e+002	-1.506000000e+001	-5.378571429e-001	2.953378402e-001									7.840000000e+002	7.840000000e+001	4.600000000e+000	2.300000000e+000	9.892758900e-001	1.072411002e-002
6.850000000e+002	-1.606000000e+001	-5.735714286e-001	2.831289267e-001									7.850000000e+002	7.850000000e+001	4.500000000e+000	2.250000000e+000	9.877755273e-001	1.222447266e-002
6.860000000e+002	-1.706000000e+001	-6.092857143e-001	2.711675389e-001									7.860000000e+002	7.860000000e+001	4.400000000e+000	2.200000000e+000	9.860965525e-001	1.390344751e-002
6.870000000e+002	-1.806000000e+001	-6.450000000e-001	2.594635948e-001									7.870000000e+002	7.870000000e+001	4.300000000e+000	2.150000000e+000	9.842223926e-001	1.577760739e-002
6.880000000e+002	-1.906000000e+001	-6.807142857e-001	2.480261499e-001									7.880000000e+002	7.880000000e+001	4.200000000e+000	2.100000000e+000	9.821355794e-001	1.786442056e-002
6.890000000e+002	-2.006000000e+001	-7.164285714e-001	2.368633817e-001									7.890000000e+002	7.890000000e+001	4.100000000e+000	2.050000000e+000	9.798177846e-001	2.018221541e-002
6.900000000e+002	-2.106000000e+001	-7.521428571e-001	2.259825797e-001									7.900000000e+002	7.900000000e+001	4.000000000e+000	2.000000000e+000	9.772498681e-001	2.275013195e-002
6.910000000e+002	-2.206000000e+001	-7.878571429e-001	2.153901395e-001									7.910000000e+002	7.910000000e+001	3.900000000e+000	1.950000000e+000	9.744119405e-001	2.558805952e-002
6.920000000e+002	-2.306000000e+001	-8.235714286e-001	2.050915618e-001									7.920000000e+002	7.920000000e+001	3.800000000e+000	1.900000000e+000	9.712834402e-001	2.871655982e-002
6.930000000e+002	-2.406000000e+001	-8.592857143e-001	1.950914563e-001									7.930000000e+002	7.930000000e+001	3.700000000e+000	1.850000000e+000	9.678432252e-001	3.215677480e-002
6.940000000e+002	-2.506000000e+001	-8.950000000e-001	1.853935489e-001									7.940000000e+002	7.940000000e+001	3.600000000e+000	1.800000000e+000	9.640696809e-001	3.593031911e-002
6.950000000e+002	-2.606000000e+001	-9.307142857e-001	1.760006945e-001									7.950000000e+002	7.950000000e+001	3.500000000e+000	1.750000000e+000	9.599408431e-001	4.005915686e-002
6.960000000e+002	-2.706000000e+001	-9.664285714e-001	1.669148926e-001									7.960000000e+002	7.960000000e+001	3.400000000e+000	1.700000000e+000	9.554345372e-001	4.456546276e-002
6.970000000e+002	-2.806000000e+001	-1.002142857e+000	1.581373075e-001									7.970000000e+002	7.970000000e+001	3.300000000e+000	1.650000000e+000	9.505285320e-001	4.947146803e-002
6.980000000e+002	-2.906000000e+001	-1.037857143e+000	1.496682917e-001									7.980000000e+002	7.980000000e+001	3.200000000e+000	1.600000000e+000	9.452007083e-001	5.479929170e-002
6.990000000e+002	-3.006000000e+001	-1.073571429e+000	1.415074125e-001									7.990000000e+002	7.990000000e+001	3.100000000e+000	1.550000000e+000	9.394292420e-001	6.057075800e-002
7.000000000e+002	-3.106000000e+001	-1.109285714e+000	1.336534818e-001									8.000000000e+002	8.000000000e+001	3.000000000e+000	1.500000000e+000	9.331927987e-001	6.680720127e-002
7.010000000e+002	-3.206000000e+001	-1.145000000e+000	1.261045883e-001									8.010000000e+002	8.010000000e+001	2.900000000e+000	1.450000000e+000	9.264707404e-001	7.352925961e-002
7.020000000e+002	-3.306000000e+001	-1.180714286e+000	1.188581327e-001									8.020000000e+002	8.020000000e+001	2.800000000e+000	1.400000000e+000	9.192433408e-001	8.075665924e-002
7.030000000e+002	-3.406000000e+001	-1.216428571e+000	1.119108641e-001									8.030000000e+002	8.030000000e+001	2.700000000e+000	1.350000000e+000	9.114920086e-001	8.850799144e-002
7.040000000e+002	-3.506000000e+001	-1.252142857e+000	1.052589190e-001									8.040000000e+002	8.040000000e+001	2.600000000e+000	1.300000000e+000	9.031995154e-001	9.680048459e-002
7.050000000e+002	-3.606000000e+001	-1.287857143e+000	9.889784822e-002									8.050000000e+002	8.050000000e+001	2.500000000e+000	1.250000000e+000	8.943502142e-001	1.056497858e-001
7.060000000e+002	-3.706000000e+001	-1.323571429e+000	9.282270967e-002									8.060000000e+002	8.060000000e+001	2.400000000e+000	1.200000000e+000	8.849303189e-001	1.150696811e-001
7.070000000e+002	-3.806000000e+001	-1.359285714e+000	8.702803456e-002									8.070000000e+002	8.070000000e+001	2.300000000e+000	1.150000000e+000	8.749280546e-001	1.250719454e-001
7.080000000e+002	-3.906000000e+001	-1.395000000e+000	8.150791978e-002									8.080000000e+002	8.080000000e+001	2.200000000e+000	1.100000000e+000	8.643339304e-001	1.356660696e-001
7.090000000e+002	-4.006000000e+001	-1.430714286e+000	7.625605863e-002									8.090000000e+002	8.090000000e+001	2.100000000e+000	1.050000000e+000	8.531409360e-001	1.468590640e-001
7.100000000e+002	-4.106000000e+001	-1.466428571e+000	7.126578366e-002									8.100000000e+002	8.100000000e+001	2.000000000e+000	1.000000000e+000	8.413447394e-001	1.586552606e-001
7.110000000e+002	-4.206000000e+001	-1.502142857e+000	6.653010934e-002									8.110000000e+002	8.110000000e+001	1.900000000e+000	9.500000000e-001	8.289438679e-001	1.710561321e-001
7.120000000e+002	-4.306000000e+001	-1.537857143e+000	6.204177406e-002									8.120000000e+002	8.120000000e+001	1.800000000e+000	9.000000000e-001	8.159398696e-001	1.840601304e-001
7.130000000e+002	-4.406000000e+001	-1.573571429e+000	5.779328145e-002									8.130000000e+002	8.130000000e+001	1.700000000e+000	8.500000000e-001	8.023374526e-001	1.976625474e-001
7.140000000e+002	-4.506000000e+001	-1.609285714e+000	5.377694068e-002									8.140000000e+002	8.140000000e+001	1.600000000e+000	8.000000000e-001	7.881445978e-001	2.118554022e-001
7.150000000e+002	-4.606000000e+001	-1.645000000e+000	4.998490554e-002									8.150000000e+002	8.150000000e+001	1.500000000e+000	7.500000000e-001	7.733726446e-001	2.266273554e-001
7.160000000e+002	-4.706000000e+001	-1.680714286e+000	4.640921221e-002									8.160000000e+002	8.160000000e+001	1.400000000e+000	7.000000000e-001	7.580363453e-001	2.419636547e-001
7.170000000e+002	-4.806000000e+001	-1.716428571e+000	4.304181547e-002									8.170000000e+002	8.170000000e+001	1.300000000e+000	6.500000000e-001	7.421538872e-001	2.578461128e-001
7.180000000e+002	-4.906000000e+001	-1.752142857e+000	3.987462325e-002									8.180000000e+002	8.180000000e+001	1.200000000e+000	6.000000000e-001	7.257468807e-001	2.742531193e-001
7.190000000e+002	-5.006000000e+001	-1.787857143e+000	3.689952942e-002									8.190000000e+002	8.190000000e+001	1.100000000e+000	5.500000000e-001	7.088403120e-001	2.911596880e-001
7.200000000e+002	-5.106000000e+001	-1.823571429e+000	3.410844465e-002									8.200000000e+002	8.200000000e+001	1.000000000e+000	5.000000000e-001	6.914624603e-001	3.085375397e-001
7.210000000e+002	-5.206000000e+001	-1.859285714e+000	3.149332541e-002									8.210000000e+002	8.210000000e+001	9.000000000e-001	4.500000000e-001	6.736447790e-001	3.263552210e-001
7.220000000e+002	-5.306000000e+001	-1.895000000e+000	2.904620084e-002									8.220000000e+002	8.220000000e+001	8.000000000e-001	4.000000000e-001	6.554217411e-001	3.445782589e-001
7.230000000e+002	-5.406000000e+001	-1.930714286e+000	2.675919764e-002									8.230000000e+002	8.230000000e+001	7.000000000e-001	3.500000000e-001	6.368306508e-001	3.631693492e-001
7.240000000e+002	-5.506000000e+001	-1.966428571e+000	2.462456288e-002									8.240000000e+002	8.240000000e+001	6.000000000e-001	3.000000000e-001	6.179114220e-001	3.820885780e-001
7.250000000e+002	-5.606000000e+001	-2.002142857e+000	2.263468467e-002									8.250000000e+002	8.250000000e+001	5.000000000e-001	2.500000000e-001	5.987063256e-001	4.012936744e-001
7.260000000e+002	-5.706000000e+001	-2.037857143e+000	2.078211085e-002									8.260000000e+002	8.260000000e+001	4.000000000e-001	2.000000000e-001	5.792597094e-001	4.207402906e-001
7.270000000e+002	-5.806000000e+001	-2.073571429e+000	1.905956549e-002									8.270000000e+002	8.270000000e+001	3.000000000e-001	1.500000000e-001	5.596176923e-001	4.403823077e-001
7.280000000e+002	-5.906000000e+001	-2.109285714e+000	1.745996357e-002									8.280000000e+002	8.280000000e+001	2.000000000e-001	1.000000000e-001	5.398278373e-001	4.601721627e-001
7.290000000e+002	-6.006000000e+001	-2.145000000e+000	1.597642350e-002									8.290000000e+002	8.290000000e+001	1.000000000e-001	5.000000000e-002	5.199388058e-001	4.800611942e-001
7.300000000e+002	-6.106000000e+001	-2.180714286e+000	1.460227787e-002									8.300000000e+002	8.300000000e+001	0.000000000e+000	0.000000000e+000	5.000000000e-001	5.000000000e-001
7.310000000e+002	-6.206000000e+001	-2.216428571e+000	1.333108237e-002									8.310000000e+002	8.310000000e+001	-1.000000000e-001	-5.000000000e-002	4.800611942e-001	5.199388058e-001
7.320000000e+002	-6.306000000e+001	-2.252142857e+000	1.215662287e-002									8.320000000e+002	8.320000000e+001	-2.000000000e-001	-1.000000000e-001	4.601721627e-001	5.398278373e-001
7.330000000e+002	-6.406000000e+001	-2.287857143e+000	1.107292090e-002									8.330000000e+002	8.330000000e+001	-3.000000000e-001	-1.500000000e-001	4.403823077e-001	5.596176923e-001
